146
most central:  Box_n50_0_1400
Box_n50_0_1400	 
Box_n50_4_1400	 Prev: Box_n50_0_1400	 distance:1.23
Box_n50_14_1400	 Prev: Box_n50_0_1400	 distance:1.06
Box_n50_21_1400	 Prev: Box_n50_0_1400	 distance:1.18
Box_n50_33_1400	 Prev: Box_n50_0_1400	 distance:1.07
Box_n50_35_1400	 Prev: Box_n50_0_1400	 distance:1.07
Box_n50_43_1400	 Prev: Box_n50_0_1400	 distance:1.27
Box_n50_17_1400	 Prev: Box_n50_4_1400	 distance:1.28
Box_n50_34_1400	 Prev: Box_n50_4_1400	 distance:1.12
Box3_1400 	 Prev: Box_n50_14_1400	 distance:1.52
Box_n50_20_1400	 Prev: Box_n50_14_1400	 distance:1.70
Box_n50_36_1400	 Prev: Box_n50_21_1400	 distance:0.86
Box_n50_19_1400	 Prev: Box_n50_33_1400	 distance:1.21
Box_n50_37_1400	 Prev: Box_n50_33_1400	 distance:0.79
Box_n50_46_1400	 Prev: Box_n50_33_1400	 distance:1.31
Box_n50_1_1400	 Prev: Box_n50_35_1400	 distance:0.97
Box_n50_26_1400	 Prev: Box_n50_35_1400	 distance:1.16
Box_n50_6_1400	 Prev: Box_n50_43_1400	 distance:1.09
Box_n50_32_1400	 Prev: Box_n50_43_1400	 distance:1.09
Box_n50_44_1400	 Prev: Box_n50_43_1400	 distance:0.91
Box97_1400	 Prev: Box_n50_17_1400	 distance:1.92
Box_n50_18_1400	 Prev: Box_n50_17_1400	 distance:1.37
Box9_1400 	 Prev: Box_n50_34_1400	 distance:1.24
Box8_1400 	 Prev: Box3_1400 	 distance:2.52
Box4_1400 	 Prev: Box_n50_20_1400	 distance:1.60
Box45_1400	 Prev: Box_n50_20_1400	 distance:2.45
Box_n50_15_1400	 Prev: Box_n50_20_1400	 distance:1.67
Box_n50_45_1400	 Prev: Box_n50_20_1400	 distance:1.69
Box91_1400	 Prev: Box_n50_36_1400	 distance:0.81
Box_n50_28_1400	 Prev: Box_n50_36_1400	 distance:1.24
Box_n50_49_1400	 Prev: Box_n50_36_1400	 distance:1.04
Box56_1400	 Prev: Box_n50_19_1400	 distance:1.79
Box_n50_16_1400	 Prev: Box_n50_19_1400	 distance:1.19
Box_n50_24_1400	 Prev: Box_n50_19_1400	 distance:0.96
Box_n50_42_1400	 Prev: Box_n50_19_1400	 distance:1.32
Box93_1400	 Prev: Box_n50_37_1400	 distance:1.19
Box87_1400	 Prev: Box_n50_46_1400	 distance:1.45
Box66_1400	 Prev: Box_n50_26_1400	 distance:1.61
Box72_1400	 Prev: Box_n50_26_1400	 distance:1.47
Box_n50_13_1400	 Prev: Box_n50_6_1400	 distance:1.20
Box_n50_39_1400	 Prev: Box_n50_6_1400	 distance:1.32
Box_n50_31_1400	 Prev: Box_n50_32_1400	 distance:1.39
Box_n50_5_1400	 Prev: Box_n50_44_1400	 distance:0.91
Box78_1400	 Prev: Box97_1400	 distance:1.06
Box38_1400	 Prev: Box_n50_18_1400	 distance:1.87
Box80_1400	 Prev: Box_n50_18_1400	 distance:1.01
Box52_1400	 Prev: Box4_1400 	 distance:2.28
Box30_1400	 Prev: Box_n50_15_1400	 distance:1.93
Box_n50_10_1400	 Prev: Box_n50_15_1400	 distance:1.42
Box_n50_30_1400	 Prev: Box_n50_15_1400	 distance:1.59
Box77_1400	 Prev: Box91_1400	 distance:1.69
Box29_1400	 Prev: Box_n50_49_1400	 distance:1.68
Box75_1400	 Prev: Box_n50_49_1400	 distance:1.84
Box20_1400	 Prev: Box56_1400	 distance:1.83
Box32_1400	 Prev: Box56_1400	 distance:1.88
Box64_1400	 Prev: Box_n50_16_1400	 distance:2.20
Box94_1400	 Prev: Box_n50_24_1400	 distance:2.16
